stim1,stim2,RT,correct,condition,Association,TaskType
diamond,octagon,1013,1,pair,friendneutral,RG_congruent
triangle,rhomboid,519,1,pair,youhappy,RG_congruent
diamond,,764,1,single,friend,RG_congruent
triangle,,543,1,single,you,RG_congruent
octagon,diamond,654,1,pair,friendneutral,RG_congruent
diamond,,620,1,single,friend,RG_congruent
triangle,rhomboid,444,1,pair,youhappy,RG_congruent
triangle,,435,1,single,you,RG_congruent
octagon,,490,1,single,neutral,RG_congruent
rhomboid,,723,0,single,happy,RG_congruent
octagon,diamond,614,0,pair,friendneutral,RG_congruent
triangle,rhomboid,419,1,pair,youhappy,RG_congruent
triangle,,554,1,single,you,RG_congruent
diamond,octagon,547,1,pair,friendneutral,RG_congruent
diamond,octagon,479,1,pair,friendneutral,RG_congruent
octagon,,507,1,single,neutral,RG_congruent
rhomboid,triangle,606,1,pair,youhappy,RG_congruent
rhomboid,,650,1,single,happy,RG_congruent
octagon,diamond,466,1,pair,friendneutral,RG_congruent
octagon,,464,1,single,neutral,RG_congruent
diamond,octagon,776,1,pair,friendneutral,RG_congruent
octagon,,471,1,single,neutral,RG_congruent
triangle,,548,1,single,you,RG_congruent
rhomboid,triangle,650,1,pair,youhappy,RG_congruent
triangle,,512,1,single,you,RG_congruent
triangle,rhomboid,432,1,pair,youhappy,RG_congruent
diamond,,587,1,single,friend,RG_congruent
rhomboid,,636,1,single,happy,RG_congruent
octagon,,548,1,single,neutral,RG_congruent
diamond,,680,0,single,friend,RG_congruent
rhomboid,,669,1,single,happy,RG_congruent
diamond,,606,1,single,friend,RG_congruent
diamond,,569,1,single,friend,RG_congruent
diamond,,447,1,single,friend,RG_congruent
triangle,rhomboid,506,1,pair,youhappy,RG_congruent
diamond,,710,1,single,friend,RG_congruent
octagon,,515,1,single,neutral,RG_congruent
octagon,diamond,745,1,pair,friendneutral,RG_congruent
rhomboid,,438,0,single,happy,RG_congruent
diamond,,527,0,single,friend,RG_congruent
triangle,,374,1,single,you,RG_congruent
octagon,,563,1,single,neutral,RG_congruent
diamond,,431,1,single,friend,RG_congruent
triangle,,751,1,single,you,RG_congruent
diamond,octagon,679,1,pair,friendneutral,RG_congruent
rhomboid,triangle,575,1,pair,youhappy,RG_congruent
rhomboid,,742,1,single,happy,RG_congruent
triangle,,495,1,single,you,RG_congruent
rhomboid,,630,1,single,happy,RG_congruent
rhomboid,,392,1,single,happy,RG_congruent
octagon,,510,1,single,neutral,RG_congruent
triangle,,614,1,single,you,RG_congruent
octagon,,699,1,single,neutral,RG_congruent
octagon,,511,1,single,neutral,RG_congruent
octagon,diamond,734,1,pair,friendneutral,RG_congruent
rhomboid,,511,1,single,happy,RG_congruent
rhomboid,triangle,438,1,pair,youhappy,RG_congruent
rhomboid,triangle,518,1,pair,youhappy,RG_congruent
triangle,,375,1,single,you,RG_congruent
rhomboid,,557,1,single,happy,RG_congruent
rhomboid,,782,1,single,happy,RG_congruent
rhomboid,,466,1,single,happy,RG_congruent
octagon,,556,1,single,neutral,RG_congruent
rhomboid,,553,1,single,happy,RG_congruent
octagon,,497,1,single,neutral,RG_congruent
diamond,,693,1,single,friend,RG_congruent
triangle,,510,1,single,you,RG_congruent
triangle,,445,1,single,you,RG_congruent
diamond,,551,1,single,friend,RG_congruent
triangle,,546,1,single,you,RG_congruent
octagon,diamond,649,1,pair,friendneutral,RG_congruent
diamond,octagon,531,1,pair,friendneutral,RG_congruent
triangle,rhomboid,588,1,pair,youhappy,RG_congruent
diamond,,708,1,single,friend,RG_congruent
octagon,,545,1,single,neutral,RG_congruent
rhomboid,,653,1,single,happy,RG_congruent
triangle,,459,1,single,you,RG_congruent
octagon,diamond,574,1,pair,friendneutral,RG_congruent
rhomboid,triangle,580,1,pair,youhappy,RG_congruent
octagon,,591,1,single,neutral,RG_congruent
octagon,diamond,835,1,pair,friendneutral,RG_congruent
octagon,diamond,472,1,pair,friendneutral,RG_congruent
triangle,,434,1,single,you,RG_congruent
diamond,,635,1,single,friend,RG_congruent
diamond,octagon,538,1,pair,friendneutral,RG_congruent
triangle,,488,1,single,you,RG_congruent
octagon,,553,1,single,neutral,RG_congruent
octagon,,434,1,single,neutral,RG_congruent
rhomboid,,843,1,single,happy,RG_congruent
diamond,,732,1,single,friend,RG_congruent
octagon,,541,1,single,neutral,RG_congruent
diamond,,571,1,single,friend,RG_congruent
triangle,rhomboid,544,1,pair,youhappy,RG_congruent
diamond,octagon,629,1,pair,friendneutral,RG_congruent
rhomboid,triangle,610,1,pair,youhappy,RG_congruent
octagon,,421,1,single,neutral,RG_congruent
rhomboid,,520,0,single,happy,RG_congruent
diamond,,644,1,single,friend,RG_congruent
triangle,rhomboid,514,1,pair,youhappy,RG_congruent
rhomboid,,714,1,single,happy,RG_congruent
octagon,,556,1,single,neutral,RG_congruent
rhomboid,triangle,753,1,pair,youhappy,RG_congruent
triangle,,490,1,single,you,RG_congruent
rhomboid,triangle,575,1,pair,youhappy,RG_congruent
triangle,rhomboid,858,1,pair,youhappy,RG_congruent
rhomboid,triangle,501,1,pair,youhappy,RG_congruent
diamond,octagon,493,1,pair,friendneutral,RG_congruent
triangle,rhomboid,733,1,pair,youhappy,RG_congruent
triangle,,487,1,single,you,RG_congruent
rhomboid,,530,1,single,happy,RG_congruent
